onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0392	6	active_change	correct	1.4072000000000013	right
24.0555	6	active_change	correct	1.4415000000000013	right
30.0636	6	active_nochange	correct	1.4761999999999986	left
40.0799	6	passive	n/a	1.5304999999999964	right
46.0881	6	active_change	correct	1.5371000000000024	right
56.1044	6	active_nochange	incorrect	1.5364000000000004	right
64.1208	6	active_change	correct	1.4736999999999938	right
70.129	6	active_nochange	correct	1.5701999999999998	left
76.1371	6	active_change	correct	1.373899999999992	right
82.1452	6	active_change	correct	1.3025999999999982	right
90.1616	6	active_nochange	correct	1.5278999999999883	left
96.1698	6	active_nochange	incorrect	1.5213999999999999	right
104.1862	6	active_nochange	correct	1.689700000000002	left
110.1943	6	passive	n/a	1.5863999999999976	left
116.2025	6	active_change	incorrect	1.7120000000000033	left
122.2106	6	active_nochange	correct	1.4377000000000066	left
130.227	6	passive	n/a	1.4618999999999858	right
138.2434	6	active_nochange	correct	1.5131999999999834	left
144.2516	6	active_nochange	miss	n/a	left
154.2679	6	active_nochange	correct	1.6011000000000024	left
160.276	6	passive	n/a	1.260799999999989	left
166.2842	6	passive	n/a	1.5354000000000099	right
176.3005	6	active_change	correct	1.4677000000000078	right
184.3169	6	active_change	correct	1.3269999999999982	right
192.3333	6	active_nochange	correct	1.4302999999999884	left
198.3415	6	active_change	correct	1.5909000000000049	right
208.3578	6	passive	n/a	1.4342000000000041	right
214.3659	6	active_nochange	correct	1.5797999999999774	left
220.3741	6	active_change	correct	1.3564000000000078	right
226.3822	6	active_change	correct	1.4480999999999824	right
232.3904	6	active_nochange	incorrect	1.5656999999999925	right
242.4067	6	active_change	correct	1.3050000000000068	right
248.4148	6	active_change	correct	1.3406999999999982	right
256.4312	6	active_change	correct	1.2918999999999983	right
262.4394	6	active_change	correct	1.4915000000000305	right
268.4475	6	active_nochange	correct	1.5341999999999985	left
276.4639	6	passive	n/a	1.8344999999999914	right
284.4803	6	passive	n/a	1.480799999999988	left
300.4965	6	active_nochange	correct	1.6529999999999632	left
306.5046	6	active_nochange	correct	1.5086000000000013	left
