onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0375	6	active_change	correct	1.5120000000000005	right
24.0538	6	active_change	correct	1.5452000000000012	right
30.0619	6	active_nochange	correct	1.4649	left
40.0783	6	passive	n/a	1.6281000000000034	right
46.0864	6	active_change	correct	1.403800000000004	right
56.1028	6	active_nochange	incorrect	1.5449999999999946	right
64.1192	6	active_change	correct	1.3042999999999978	right
70.1273	6	active_nochange	incorrect	1.5678999999999945	right
76.1354	6	active_change	correct	1.5725999999999942	right
82.1436	6	active_change	correct	1.386199999999988	right
90.16	6	active_nochange	incorrect	1.7704999999999984	right
96.1681	6	active_nochange	incorrect	1.4391000000000105	right
104.1845	6	active_nochange	correct	1.3275000000000006	left
110.1927	6	passive	n/a	1.6430000000000007	left
116.2008	6	active_change	correct	1.4926999999999992	right
122.2089	6	active_nochange	correct	1.4583999999999975	left
130.2253	6	passive	n/a	1.7647000000000048	right
138.2418	6	active_nochange	incorrect	1.4387999999999863	right
144.2499	6	active_nochange	correct	1.6825000000000045	left
154.2662	6	active_nochange	incorrect	1.43780000000001	right
160.2744	6	passive	n/a	1.719399999999979	right
166.2825	6	passive	n/a	1.5371000000000095	right
176.2989	6	active_change	correct	1.5123000000000104	right
184.3153	6	active_change	correct	1.5075999999999965	right
192.3317	6	active_nochange	incorrect	1.3988999999999976	right
198.3398	6	active_change	correct	1.7785000000000082	right
208.3561	6	passive	n/a	0.4158999999999935	right
214.3643	6	active_nochange	incorrect	1.3705000000000211	right
220.3724	6	active_change	correct	1.4701000000000022	right
226.3806	6	active_change	incorrect	1.5016999999999996	left
232.3887	6	active_nochange	incorrect	1.5883000000000038	right
242.405	6	active_change	correct	1.405699999999996	right
248.4132	6	active_change	correct	1.4093000000000018	right
256.4296	6	active_change	correct	1.680499999999995	right
262.4377	6	active_change	correct	1.4812000000000012	right
268.4459	6	active_nochange	incorrect	1.5418000000000234	right
276.4623	6	passive	n/a	1.6789999999999736	right
284.4787	6	passive	n/a	2.3693000000000097	left
300.4948	6	active_nochange	incorrect	1.477700000000027	right
306.503	6	active_nochange	incorrect	1.6222000000000207	right
