onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0375	6	active_change	correct	1.5850000000000009	right
24.0538	6	active_change	correct	1.6662	right
30.0619	6	active_nochange	correct	1.3568999999999996	left
40.0783	6	passive	n/a	0.6661000000000001	right
46.0864	6	active_change	correct	1.4817999999999998	right
56.1028	6	active_nochange	incorrect	1.8689999999999998	right
64.1192	6	active_change	correct	1.6592999999999876	right
70.1273	6	active_nochange	incorrect	1.6098999999999961	right
76.1354	6	active_change	correct	1.6456000000000017	right
82.1436	6	active_change	correct	1.4861999999999966	right
90.16	6	active_nochange	correct	1.3924999999999983	left
96.1681	6	active_nochange	incorrect	1.4592000000000098	right
104.1845	6	active_nochange	incorrect	1.4313999999999965	right
110.1927	6	passive	n/a	1.6069999999999993	right
116.2008	6	active_change	correct	1.4826999999999941	right
122.2089	6	active_nochange	correct	1.4583999999999975	left
130.2254	6	passive	n/a	1.6064999999999827	right
138.2418	6	active_nochange	correct	1.6487999999999943	left
144.2499	6	active_nochange	correct	1.5115000000000123	left
154.2662	6	active_nochange	correct	1.8118000000000052	left
160.2744	6	passive	n/a	1.5103999999999758	right
166.2825	6	passive	n/a	1.4281000000000006	left
176.2989	6	active_change	correct	1.3803000000000054	right
184.3153	6	active_change	correct	1.5575999999999794	right
192.3317	6	active_nochange	correct	1.3748999999999967	left
198.3398	6	active_change	correct	1.2935999999999979	right
208.3562	6	passive	n/a	1.557799999999986	right
214.3643	6	active_nochange	incorrect	1.5604000000000156	right
220.3724	6	active_change	correct	1.478100000000012	right
226.3806	6	active_change	correct	1.490700000000004	right
232.3887	6	active_nochange	incorrect	1.6254000000000133	right
242.405	6	active_change	correct	1.570699999999988	right
248.4132	6	active_change	correct	1.3343000000000131	right
256.4296	6	active_change	correct	1.3985000000000127	right
262.4377	6	active_change	correct	1.407199999999989	right
268.4459	6	active_nochange	correct	1.682799999999986	left
276.4623	6	passive	n/a	1.6540999999999713	left
284.4787	6	passive	n/a	1.298400000000015	right
300.4948	6	active_nochange	correct	1.604600000000005	left
306.503	6	active_nochange	correct	1.432200000000023	left
