onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0407	6	active_change	correct	1.7018000000000004	right
24.057	6	active_change	correct	1.7439999999999998	right
30.0651	6	active_nochange	miss	n/a	right
40.0815	6	passive	n/a	2.2560000000000002	right
46.0897	6	active_change	miss	n/a	left
56.106	6	active_nochange	incorrect	1.2909999999999968	right
64.1225	6	active_change	correct	1.225200000000001	right
70.1306	6	active_nochange	incorrect	1.2329000000000008	right
76.1388	6	active_change	correct	1.8654999999999973	right
82.1469	6	active_change	miss	n/a	left
90.1634	6	active_nochange	miss	n/a	left
96.1715	6	active_nochange	miss	n/a	left
104.188	6	active_nochange	incorrect	1.314300000000003	right
110.1961	6	passive	n/a	2.3248999999999995	right
116.2043	6	active_change	miss	n/a	left
122.2124	6	active_nochange	miss	n/a	right
130.2289	6	passive	miss	n/a	left
138.2453	6	active_nochange	incorrect	1.3047000000000253	right
144.2535	6	active_nochange	incorrect	1.2413999999999987	right
154.2698	6	active_nochange	incorrect	1.2546999999999855	right
160.278	6	passive	miss	n/a	right
166.2862	6	passive	miss	n/a	right
176.3025	6	active_change	miss	n/a	right
184.319	6	active_change	miss	n/a	left
192.3354	6	active_nochange	miss	n/a	right
198.3435	6	active_change	miss	n/a	right
208.3599	6	passive	n/a	1.6306999999999903	right
214.3681	6	active_nochange	incorrect	1.2443000000000097	right
220.3762	6	active_change	miss	n/a	right
226.3844	6	active_change	miss	n/a	left
232.3925	6	active_nochange	miss	n/a	right
242.4089	6	active_change	miss	n/a	right
248.4171	6	active_change	correct	1.369100000000003	right
256.4335	6	active_change	miss	n/a	right
262.4417	6	active_change	miss	n/a	left
268.4498	6	active_nochange	miss	n/a	right
276.4663	6	passive	n/a	1.5049000000000206	right
284.4827	6	passive	miss	n/a	left
300.4989	6	active_nochange	incorrect	2.13839999999999	right
306.507	6	active_nochange	miss	n/a	n/a
