onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0413	6	active_change	incorrect	1.4473000000000003	left
24.0577	6	active_change	correct	1.665499999999998	right
30.0658	6	active_nochange	incorrect	1.6123000000000012	right
40.0823	6	passive	n/a	1.9554000000000045	left
46.0905	6	active_change	correct	1.5491000000000028	right
56.1069	6	active_nochange	incorrect	1.8613999999999962	right
64.1234	6	active_change	correct	1.6007000000000033	right
70.1316	6	active_nochange	correct	1.509299999999996	left
76.1397	6	active_change	correct	1.509999999999991	right
82.1479	6	active_change	correct	1.7375999999999863	right
90.1644	6	active_nochange	correct	1.653899999999993	left
96.1726	6	active_nochange	correct	1.4975000000000023	left
104.1891	6	active_nochange	correct	1.906800000000004	left
110.1973	6	passive	n/a	1.875399999999999	right
116.2055	6	active_change	correct	1.5711000000000013	right
122.2137	6	active_nochange	correct	1.4566999999999979	left
130.2301	6	passive	n/a	1.5879999999999939	right
138.2466	6	active_nochange	correct	1.4442999999999984	left
144.2548	6	active_nochange	correct	1.4659000000000049	left
154.2712	6	active_nochange	correct	1.4772000000000105	left
160.2794	6	passive	n/a	2.4188000000000045	right
166.2876	6	passive	n/a	1.7244000000000028	left
176.304	6	active_change	correct	1.6767999999999859	right
184.3205	6	active_change	incorrect	1.443099999999987	left
192.337	6	active_nochange	correct	1.467300000000023	left
198.3452	6	active_change	incorrect	1.4639999999999986	left
208.3616	6	passive	n/a	1.5172999999999774	left
214.3698	6	active_nochange	correct	1.5089000000000112	left
220.378	6	active_change	correct	1.472500000000025	right
226.3862	6	active_change	incorrect	1.3511000000000024	left
232.3944	6	active_nochange	incorrect	1.4227000000000203	right
242.4108	6	active_change	correct	1.4639999999999986	right
248.419	6	active_change	correct	1.391699999999986	right
256.4355	6	active_change	correct	1.4689000000000192	right
262.4436	6	active_change	incorrect	1.3256999999999834	left
268.4518	6	active_nochange	correct	1.526299999999992	left
276.4683	6	passive	n/a	1.551499999999976	left
284.4848	6	passive	n/a	2.2577999999999747	left
300.5011	6	active_nochange	incorrect	1.3140999999999963	right
306.5093	6	active_nochange	correct	1.6636000000000308	left
