onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0413	6	active_change	correct	1.427200000000001	right
24.0577	6	active_change	correct	1.8704	right
30.0658	6	active_nochange	incorrect	1.2881	right
40.0822	6	passive	miss	n/a	right
46.0904	6	active_change	miss	n/a	left
56.1068	6	active_nochange	incorrect	1.8873000000000033	right
64.1232	6	active_change	correct	2.253600000000006	right
70.1314	6	active_nochange	miss	n/a	right
76.1396	6	active_change	miss	n/a	right
82.1478	6	active_change	miss	n/a	left
90.1642	6	active_nochange	miss	n/a	left
96.1724	6	active_nochange	incorrect	1.2383999999999986	right
104.1888	6	active_nochange	incorrect	2.395700000000005	right
110.197	6	passive	n/a	2.3832999999999913	right
116.2052	6	active_change	miss	n/a	left
122.2134	6	active_nochange	incorrect	1.4506000000000085	right
130.2298	6	passive	miss	n/a	left
138.2463	6	active_nochange	incorrect	1.3611000000000217	right
144.2544	6	active_nochange	miss	n/a	left
154.2708	6	active_nochange	incorrect	1.3190999999999917	right
160.279	6	passive	miss	n/a	right
166.2872	6	passive	n/a	1.481299999999976	right
176.3036	6	active_change	miss	n/a	right
184.32	6	active_change	correct	1.65300000000002	right
192.3365	6	active_nochange	incorrect	1.3522000000000105	right
198.3447	6	active_change	correct	2.3408000000000015	right
208.361	6	passive	n/a	2.106099999999998	right
214.3692	6	active_nochange	miss	n/a	right
220.3774	6	active_change	miss	n/a	right
226.3856	6	active_change	correct	1.7299999999999898	right
232.3937	6	active_nochange	incorrect	1.226699999999994	right
242.4101	6	active_change	miss	n/a	right
248.4183	6	active_change	miss	n/a	right
256.4348	6	active_change	miss	n/a	right
262.4429	6	active_change	correct	1.2685000000000173	right
268.4511	6	active_nochange	incorrect	2.740099999999984	right
276.4676	6	passive	n/a	1.266399999999976	right
284.484	6	passive	n/a	1.289700000000039	right
300.5002	6	active_nochange	incorrect	1.4350000000000023	right
306.5084	6	active_nochange	incorrect	0.990600000000029	right
