onset	duration	trial_type	response_accuracy	response_time	response_hand
12.04	6	active_change	correct	1.8585000000000012	right
24.0564	6	active_change	correct	1.7617000000000012	right
30.0645	6	active_nochange	correct	1.2254000000000005	left
40.0809	6	passive	n/a	0.6557000000000031	right
46.089	6	active_change	incorrect	1.3573000000000022	left
56.1054	6	active_nochange	correct	1.6315999999999988	left
64.1218	6	active_change	correct	1.5849000000000046	right
70.13	6	active_nochange	incorrect	1.7595000000000027	right
76.1381	6	active_change	correct	1.3492000000000104	right
82.1463	6	active_change	correct	1.5348000000000042	right
90.1627	6	active_nochange	correct	1.4231000000000051	left
96.1709	6	active_nochange	correct	1.4697000000000031	left
104.1873	6	active_nochange	correct	1.9909999999999997	left
110.1955	6	passive	n/a	1.8025999999999982	right
116.2036	6	active_change	correct	1.4453000000000031	right
122.2118	6	active_nochange	incorrect	1.326900000000009	right
130.2282	6	passive	n/a	1.3722000000000207	left
138.2447	6	active_nochange	incorrect	1.3214000000000112	right
144.2528	6	active_nochange	incorrect	1.5170999999999992	right
154.2692	6	active_nochange	correct	1.6632999999999925	left
160.2773	6	passive	n/a	1.3019999999999925	right
166.2855	6	passive	n/a	1.3626999999999896	left
176.3019	6	active_change	correct	1.417900000000003	right
184.3183	6	active_change	correct	1.5571999999999946	right
192.3347	6	active_nochange	correct	1.244499999999988	left
198.3429	6	active_change	incorrect	1.6581000000000188	left
208.3593	6	passive	n/a	1.2883999999999958	right
214.3674	6	active_nochange	correct	1.608000000000004	left
220.3756	6	active_change	correct	1.2796000000000163	right
226.3837	6	active_change	incorrect	1.9732999999999947	left
232.3919	6	active_nochange	correct	1.488900000000001	left
242.4082	6	active_change	correct	1.2352999999999952	right
248.4164	6	active_change	incorrect	1.3699000000000012	left
256.4328	6	active_change	correct	1.5701999999999998	right
262.441	6	active_change	correct	1.3918000000000461	right
268.4492	6	active_nochange	correct	1.2923999999999864	left
276.4656	6	passive	n/a	1.5737000000000307	left
284.482	6	passive	n/a	1.3279999999999745	right
300.4982	6	active_nochange	correct	1.6601999999999748	left
306.5064	6	active_nochange	correct	1.2549000000000206	left
