onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0412	6	active_change	correct	1.1593999999999998	right
24.0575	6	active_change	incorrect	2.044599999999999	left
30.0657	6	active_nochange	incorrect	1.350200000000001	right
40.0821	6	passive	n/a	1.427500000000002	left
46.0902	6	active_change	correct	0.995199999999997	right
56.1066	6	active_nochange	incorrect	1.2034999999999982	right
64.1231	6	active_change	incorrect	1.1258000000000123	left
70.1313	6	active_nochange	incorrect	1.6333000000000055	right
76.1394	6	active_change	incorrect	0.9221000000000004	left
82.1476	6	active_change	incorrect	1.1067000000000036	left
90.1641	6	active_nochange	correct	1.4018999999999977	left
96.1722	6	active_nochange	correct	1.6126999999999896	left
104.1887	6	active_nochange	incorrect	1.619799999999998	right
110.1969	6	passive	n/a	0.6594999999999942	left
116.205	6	active_change	incorrect	1.4561999999999955	left
122.2132	6	active_nochange	incorrect	1.3867999999999938	right
130.2297	6	passive	n/a	0.4380999999999915	left
138.2461	6	active_nochange	incorrect	1.4303999999999917	right
144.2543	6	active_nochange	incorrect	1.4890000000000043	right
154.2707	6	active_nochange	correct	0.9892999999999859	left
160.2789	6	passive	n/a	0.7539000000000158	left
166.287	6	passive	n/a	0.7965999999999838	left
176.3034	6	active_change	incorrect	2.3348000000000013	left
184.3199	6	active_change	incorrect	1.096100000000007	left
192.3363	6	active_nochange	incorrect	1.4144000000000005	right
198.3445	6	active_change	correct	1.417999999999978	right
208.3609	6	passive	n/a	0.45930000000001314	left
214.3691	6	active_nochange	incorrect	1.5088999999999828	right
220.3773	6	active_change	incorrect	1.6195000000000164	left
226.3854	6	active_change	incorrect	1.3641999999999825	left
232.3936	6	active_nochange	incorrect	1.4438000000000102	right
242.41	6	active_change	incorrect	1.5201000000000136	left
248.4182	6	active_change	incorrect	1.601699999999994	left
256.4346	6	active_change	incorrect	1.8940000000000055	left
262.4428	6	active_change	incorrect	1.7946000000000026	left
268.451	6	active_nochange	correct	1.1252999999999815	left
276.4674	6	passive	n/a	0.4585999999999899	left
284.4839	6	passive	n/a	1.373800000000017	left
300.5001	6	active_nochange	incorrect	1.2071000000000254	right
306.5083	6	active_nochange	incorrect	1.5147000000000048	right
