onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0359	6	active_change	incorrect	1.6547	left
24.0523	6	active_change	incorrect	1.1669000000000018	left
30.0605	6	active_nochange	correct	1.7605000000000004	left
40.0768	6	passive	n/a	2.1049000000000007	left
46.085	6	active_change	incorrect	1.3735	left
56.1014	6	active_nochange	incorrect	1.520700000000005	right
64.1179	6	active_change	incorrect	1.6729999999999876	left
70.126	6	active_nochange	incorrect	1.1726999999999919	right
76.1342	6	active_change	incorrect	1.3432999999999993	left
82.1424	6	active_change	incorrect	1.370900000000006	left
90.1588	6	active_nochange	incorrect	1.3973000000000013	right
96.167	6	active_nochange	incorrect	1.7257999999999925	right
104.1835	6	active_nochange	incorrect	1.420100000000005	right
110.1916	6	passive	n/a	1.515800000000013	left
116.1998	6	active_change	incorrect	1.4684000000000026	left
122.208	6	active_nochange	correct	1.6779999999999973	left
130.2244	6	passive	n/a	2.0714000000000112	left
138.2409	6	active_nochange	correct	1.856599999999986	left
144.2491	6	active_nochange	incorrect	1.5331999999999937	right
154.2655	6	active_nochange	incorrect	1.322499999999991	right
160.2736	6	passive	n/a	1.5962000000000103	left
166.2818	6	passive	n/a	1.6257999999999981	left
176.2982	6	active_change	correct	2.5149999999999864	right
184.3147	6	active_change	incorrect	0.6423000000000059	left
192.3311	6	active_nochange	incorrect	1.1587000000000103	right
198.3393	6	active_change	incorrect	1.2992999999999881	left
208.3557	6	passive	n/a	1.727499999999992	left
214.3638	6	active_nochange	correct	1.0921999999999912	left
220.372	6	active_change	incorrect	1.4198999999999842	left
226.3802	6	active_change	correct	1.6203999999999894	right
232.3884	6	active_nochange	incorrect	1.8100000000000023	right
242.4048	6	active_change	incorrect	1.8023000000000025	left
248.4129	6	active_change	incorrect	1.1630999999999858	left
256.4294	6	active_change	incorrect	1.470200000000034	left
262.4376	6	active_change	incorrect	1.4539000000000328	left
268.4457	6	active_nochange	incorrect	1.2896000000000072	right
276.4622	6	passive	n/a	1.5278000000000134	left
284.4786	6	passive	n/a	1.4002000000000407	left
300.4949	6	active_nochange	incorrect	1.478400000000022	right
306.503	6	active_nochange	incorrect	1.3391000000000304	right
