onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0415	6	active_change	correct	1.494200000000001	right
24.058	6	active_change	correct	1.4814000000000007	right
30.0662	6	active_nochange	correct	1.7070000000000007	left
40.0827	6	passive	n/a	1.374299999999998	left
46.0909	6	active_change	correct	1.3560000000000016	right
56.1074	6	active_nochange	correct	1.3312000000000026	left
64.1239	6	active_change	correct	1.4954999999999927	right
70.1322	6	active_nochange	correct	1.3271000000000015	left
76.1404	6	active_change	correct	1.352800000000002	right
82.1486	6	active_change	correct	1.5664000000000016	right
90.1651	6	active_nochange	incorrect	1.5117000000000047	right
96.1734	6	active_nochange	correct	1.4712999999999994	left
104.1899	6	active_nochange	correct	1.252600000000001	left
110.1981	6	passive	n/a	1.462299999999999	right
116.2063	6	active_change	correct	1.272900000000007	right
122.2146	6	active_nochange	correct	1.5764999999999958	left
130.2311	6	passive	n/a	1.4148000000000138	right
138.2476	6	active_nochange	correct	1.447100000000006	left
144.2558	6	active_nochange	correct	1.3877999999999986	left
154.2723	6	active_nochange	correct	1.475999999999999	left
160.2806	6	passive	n/a	1.5466000000000122	left
166.2888	6	passive	n/a	1.4201999999999941	left
176.3053	6	active_change	correct	1.3135000000000048	right
184.3218	6	active_change	correct	1.4318000000000097	right
192.3383	6	active_nochange	correct	1.4490999999999872	left
198.3465	6	active_change	correct	1.4238	right
208.363	6	passive	n/a	1.497099999999989	left
214.3713	6	active_nochange	correct	1.3806000000000154	left
220.3795	6	active_change	correct	1.4302999999999884	right
226.3877	6	active_change	correct	1.304000000000002	right
232.3959	6	active_nochange	correct	1.3285999999999945	left
242.4124	6	active_change	correct	1.3349000000000046	right
248.4207	6	active_change	correct	1.2595000000000027	right
256.4372	6	active_change	correct	1.3048000000000002	right
262.4454	6	active_change	correct	1.4884000000000128	right
268.4536	6	active_nochange	incorrect	1.56310000000002	right
276.4702	6	passive	n/a	1.7093000000000416	left
284.4867	6	passive	n/a	1.6066000000000145	left
300.5031	6	active_nochange	correct	1.432799999999986	left
306.5113	6	active_nochange	correct	1.5294999999999845	left
