onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0409	6	active_change	correct	1.5297	right
24.0573	6	active_change	correct	1.617099999999997	right
30.0655	6	active_nochange	incorrect	1.736699999999999	right
40.082	6	passive	n/a	1.583999999999996	left
46.0903	6	active_change	correct	1.6585000000000036	right
56.1068	6	active_nochange	correct	1.4598000000000013	left
64.1233	6	active_change	correct	1.5320999999999998	right
70.1315	6	active_nochange	incorrect	1.5608000000000004	right
76.1397	6	active_change	correct	1.6173999999999893	right
82.148	6	active_change	correct	1.4890000000000043	right
90.1645	6	active_nochange	incorrect	1.4222999999999928	right
96.1727	6	active_nochange	correct	1.306999999999988	left
104.1892	6	active_nochange	correct	1.4013000000000062	left
110.1975	6	passive	n/a	1.5407999999999902	left
116.2057	6	active_change	correct	1.5885000000000105	right
122.2139	6	active_nochange	correct	1.380200000000002	left
130.2304	6	passive	n/a	1.4344999999999857	right
138.247	6	active_nochange	correct	1.5126999999999953	left
144.2552	6	active_nochange	correct	1.511400000000009	left
154.2717	6	active_nochange	correct	1.3135999999999797	left
160.2799	6	passive	n/a	1.641300000000001	left
166.2881	6	passive	n/a	1.4519000000000233	left
176.3046	6	active_change	correct	1.347200000000015	right
184.3211	6	active_change	correct	1.4254999999999995	right
192.3377	6	active_nochange	correct	1.6226999999999805	left
198.3459	6	active_change	correct	1.457400000000007	right
208.3624	6	passive	n/a	1.567700000000002	left
214.3706	6	active_nochange	correct	1.5133000000000152	left
220.3788	6	active_change	correct	1.4129999999999825	right
226.3871	6	active_change	correct	1.3596000000000004	right
232.3953	6	active_nochange	incorrect	1.3562000000000012	right
242.4118	6	active_change	correct	1.5604999999999905	right
248.42	6	active_change	correct	1.3191000000000201	right
256.4365	6	active_change	correct	1.2473999999999705	right
262.4448	6	active_change	correct	1.532000000000039	right
268.453	6	active_nochange	correct	1.7537000000000376	left
276.4695	6	passive	n/a	1.6140000000000327	left
284.486	6	passive	n/a	1.7673000000000343	left
300.5024	6	active_nochange	correct	1.54849999999999	left
306.5106	6	active_nochange	correct	1.491199999999992	left
