onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0422	6	active_change	incorrect	1.4144000000000005	left
24.0585	6	active_change	incorrect	1.0617000000000019	left
30.0667	6	active_nochange	incorrect	1.3912999999999975	right
40.0831	6	passive	n/a	1.6025999999999954	left
46.0913	6	active_change	incorrect	1.4892000000000039	left
56.1077	6	active_nochange	incorrect	1.8224000000000018	right
64.1241	6	active_change	correct	1.7488000000000028	right
70.1323	6	active_nochange	incorrect	1.4373999999999967	right
76.1405	6	active_change	incorrect	1.6779999999999973	left
82.1486	6	active_change	incorrect	1.4067000000000007	left
90.1651	6	active_nochange	correct	1.4549000000000092	left
96.1733	6	active_nochange	incorrect	1.3836000000000013	right
104.1897	6	active_nochange	incorrect	1.677899999999994	right
110.1979	6	passive	n/a	1.8464999999999918	left
116.2061	6	active_change	incorrect	1.6610999999999905	left
122.2142	6	active_nochange	incorrect	1.3537999999999926	right
130.2307	6	passive	n/a	1.796999999999997	left
138.2471	6	active_nochange	correct	1.8444000000000074	left
144.2553	6	active_nochange	incorrect	2.165999999999997	right
154.2717	6	active_nochange	correct	1.5532999999999788	left
160.2799	6	passive	n/a	2.2778999999999883	left
166.2881	6	passive	n/a	1.7055000000000007	left
176.3045	6	active_change	incorrect	1.555800000000005	left
184.3209	6	active_change	incorrect	1.4671000000000163	left
192.3374	6	active_nochange	incorrect	1.558400000000006	right
198.3455	6	active_change	incorrect	1.7190000000000225	left
208.3619	6	passive	miss	n/a	left
214.3701	6	active_nochange	incorrect	1.5268999999999835	right
220.3783	6	active_change	incorrect	1.552500000000009	left
226.3864	6	active_change	incorrect	1.3982999999999777	left
232.3946	6	active_nochange	incorrect	1.5729000000000042	right
242.411	6	active_change	incorrect	1.4850999999999885	left
248.4192	6	active_change	correct	1.7576999999999998	right
256.4356	6	active_change	correct	1.9950000000000045	right
262.4438	6	active_change	incorrect	1.8077000000000112	left
268.452	6	active_nochange	incorrect	1.3602999999999952	right
276.4684	6	passive	n/a	1.5615999999999985	left
284.4849	6	passive	n/a	7.774600000000021	left
300.5011	6	active_nochange	incorrect	1.5640999999999963	right
306.5093	6	active_nochange	incorrect	1.4177999999999997	right
