onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0421	6	active_change	correct	1.4314999999999998	right
24.0585	6	active_change	correct	1.695800000000002	right
30.0667	6	active_nochange	incorrect	1.4544999999999995	right
40.0832	6	passive	n/a	1.4727999999999994	left
46.0914	6	active_change	incorrect	1.5533999999999963	left
56.1079	6	active_nochange	incorrect	1.7597000000000023	right
64.1245	6	active_change	incorrect	1.9878999999999962	left
70.1327	6	active_nochange	correct	1.3315000000000055	left
76.1409	6	active_change	correct	1.9111999999999938	right
82.1491	6	active_change	correct	1.4788999999999959	right
90.1657	6	active_nochange	correct	1.4450999999999965	left
96.1739	6	active_nochange	incorrect	1.4936999999999898	right
104.1904	6	active_nochange	incorrect	1.42410000000001	right
110.1986	6	passive	n/a	1.834699999999998	right
116.2069	6	active_change	correct	1.499299999999991	right
122.2151	6	active_nochange	correct	1.3268999999999949	left
130.2316	6	passive	n/a	1.4462000000000046	right
138.2481	6	active_nochange	incorrect	1.3036000000000172	right
144.2564	6	active_nochange	correct	1.3800999999999988	left
154.2729	6	active_nochange	incorrect	1.6184000000000083	right
160.2811	6	passive	n/a	1.5660000000000025	left
166.2893	6	passive	n/a	1.4226999999999919	left
176.3058	6	active_change	correct	1.3619999999999948	right
184.3223	6	active_change	correct	1.4352999999999838	right
192.3389	6	active_nochange	correct	1.2435000000000116	left
198.3471	6	active_change	correct	1.3181999999999903	right
208.3636	6	passive	n/a	1.7104000000000212	left
214.3718	6	active_nochange	incorrect	1.3031000000000006	right
220.38	6	active_change	correct	1.4697999999999922	right
226.3883	6	active_change	correct	1.415300000000002	right
232.3965	6	active_nochange	correct	1.4639999999999986	left
242.413	6	active_change	correct	1.5611999999999853	right
248.4212	6	active_change	correct	1.2608999999999924	right
256.4377	6	active_change	incorrect	1.515199999999993	left
262.446	6	active_change	correct	1.307799999999986	right
268.4542	6	active_nochange	correct	1.4583999999999833	left
276.4707	6	passive	n/a	1.3497999999999593	right
284.4872	6	passive	n/a	1.4481000000000108	left
300.5036	6	active_nochange	incorrect	1.5733000000000175	right
306.5118	6	active_nochange	correct	1.2870000000000346	left
