onset	duration	trial_type	response_accuracy	response_time	response_hand
12.038	6	active_change	correct	1.0535999999999994	right
24.0544	6	active_change	correct	1.4178999999999995	right
30.0626	6	active_nochange	miss	n/a	right
40.0791	6	passive	miss	n/a	right
46.0873	6	active_change	miss	n/a	left
56.1038	6	active_nochange	miss	n/a	right
64.1203	6	active_change	incorrect	0.6479999999999961	left
70.1285	6	active_nochange	incorrect	0.8485999999999905	right
76.1367	6	active_change	correct	0.7282999999999902	right
82.1449	6	active_change	miss	n/a	left
90.1614	6	active_nochange	miss	n/a	left
96.1696	6	active_nochange	incorrect	0.950800000000001	right
104.1861	6	active_nochange	incorrect	0.8821999999999974	right
110.1943	6	passive	miss	n/a	right
116.2025	6	active_change	miss	n/a	left
122.2107	6	active_nochange	incorrect	0.8410999999999973	right
130.2272	6	passive	miss	n/a	left
138.2437	6	active_nochange	incorrect	1.094600000000014	right
144.2519	6	active_nochange	correct	0.6473000000000013	left
154.2684	6	active_nochange	correct	1.1064999999999827	left
160.2766	6	passive	miss	n/a	right
166.2848	6	passive	miss	n/a	right
176.3013	6	active_change	correct	0.9039999999999964	right
184.3178	6	active_change	correct	0.7143000000000086	right
192.3343	6	active_nochange	incorrect	0.823599999999999	right
198.3425	6	active_change	correct	0.8622000000000014	right
208.359	6	passive	miss	n/a	left
214.3672	6	active_nochange	incorrect	1.1540999999999997	right
220.3754	6	active_change	incorrect	0.7527999999999793	left
226.3836	6	active_change	incorrect	1.409400000000005	left
232.3918	6	active_nochange	correct	0.8611000000000217	left
242.4083	6	active_change	correct	1.2073000000000036	right
248.4165	6	active_change	incorrect	1.0668999999999755	left
256.433	6	active_change	miss	n/a	right
262.4412	6	active_change	incorrect	0.9389000000000465	left
268.4494	6	active_nochange	correct	1.218499999999949	left
276.4659	6	passive	miss	n/a	right
284.4824	6	passive	miss	n/a	left
300.4987	6	active_nochange	correct	1.367400000000032	left
306.5069	6	active_nochange	incorrect	2.1620000000000346	right
