onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0399	6	active_change	correct	1.262500000000001	right
24.0563	6	active_change	incorrect	1.7836999999999996	left
30.0644	6	active_nochange	correct	1.360400000000002	left
40.0808	6	passive	n/a	1.1916999999999973	left
46.0889	6	active_change	incorrect	1.1772999999999954	left
56.1053	6	active_nochange	correct	1.5305999999999997	left
64.1217	6	active_change	correct	2.3238999999999947	right
70.1299	6	active_nochange	incorrect	1.1924999999999955	right
76.138	6	active_change	incorrect	1.566199999999995	left
82.1462	6	active_change	incorrect	0.9408000000000101	left
90.1626	6	active_nochange	correct	0.9480999999999966	left
96.1708	6	active_nochange	correct	1.3376999999999981	left
104.1872	6	active_nochange	correct	1.2449999999999903	left
110.1954	6	passive	n/a	1.6036000000000001	left
116.2035	6	active_change	correct	1.2462999999999909	right
122.2117	6	active_nochange	correct	1.2039000000000044	left
130.2281	6	passive	n/a	1.3961999999999932	left
138.2446	6	active_nochange	correct	1.5383999999999958	left
144.2527	6	active_nochange	correct	1.3091000000000008	left
154.2691	6	active_nochange	incorrect	1.2983999999999867	right
160.2772	6	passive	n/a	1.1601	left
166.2854	6	passive	n/a	1.2347000000000037	left
176.3018	6	active_change	correct	1.3389000000000237	right
184.3182	6	active_change	correct	1.2942000000000178	right
192.3346	6	active_nochange	correct	1.1084999999999923	left
198.3428	6	active_change	correct	1.6670999999999765	right
208.3592	6	passive	n/a	1.2554000000000087	left
214.3673	6	active_nochange	correct	1.193099999999987	left
220.3755	6	active_change	correct	1.216700000000003	right
226.3836	6	active_change	correct	1.2774	right
232.3918	6	active_nochange	correct	1.3669000000000153	left
242.4082	6	active_change	correct	1.2972000000000037	right
248.4163	6	active_change	incorrect	1.3688999999999965	left
256.4327	6	active_change	incorrect	1.293200000000013	left
262.4409	6	active_change	correct	1.2337999999999738	right
268.4491	6	active_nochange	correct	2.138300000000015	left
276.4655	6	passive	n/a	1.3367000000000075	left
284.4819	6	passive	n/a	1.600999999999999	left
300.4981	6	active_nochange	correct	1.2771999999999935	left
306.5063	6	active_nochange	correct	1.1447999999999752	left
