onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0388	6	active_change	correct	1.7889	right
24.0552	6	active_change	correct	1.502200000000002	right
30.0634	6	active_nochange	correct	1.8717999999999968	left
40.0799	6	passive	n/a	1.6910999999999987	left
46.0882	6	active_change	correct	1.8367000000000004	right
56.1046	6	active_nochange	correct	1.5641000000000034	left
64.1212	6	active_change	incorrect	2.026200000000003	left
70.1294	6	active_nochange	correct	1.5818999999999903	left
76.1376	6	active_change	incorrect	1.633599999999987	left
82.1458	6	active_change	correct	1.4702000000000055	right
90.1624	6	active_nochange	correct	1.406499999999994	left
96.1706	6	active_nochange	correct	1.9381000000000057	left
104.1871	6	active_nochange	correct	1.6303999999999945	left
110.1953	6	passive	n/a	1.9281000000000006	left
116.2036	6	active_change	correct	1.3936000000000064	right
122.2118	6	active_nochange	correct	1.4283000000000072	left
130.2283	6	passive	n/a	2.0966000000000236	left
138.2448	6	active_nochange	correct	1.3369000000000142	left
144.2531	6	active_nochange	correct	1.5925000000000011	left
154.2695	6	active_nochange	correct	1.360900000000015	left
160.2778	6	passive	n/a	1.733399999999989	left
166.286	6	passive	n/a	2.5560999999999865	left
176.3025	6	active_change	correct	1.6882999999999981	right
184.319	6	active_change	incorrect	1.7626000000000204	left
192.3355	6	active_nochange	correct	1.6069999999999993	left
198.3437	6	active_change	incorrect	1.4555999999999756	left
208.3602	6	passive	n/a	2.0209000000000117	left
214.3685	6	active_nochange	correct	1.6853999999999871	left
220.3767	6	active_change	correct	1.7631000000000085	right
226.3849	6	active_change	incorrect	1.8997000000000241	left
232.3931	6	active_nochange	correct	1.615399999999994	left
242.4096	6	active_change	correct	1.6006999999999891	right
248.4178	6	active_change	incorrect	1.6632999999999925	left
256.4344	6	active_change	correct	2.157600000000002	right
262.4426	6	active_change	incorrect	1.9311999999999898	left
268.4508	6	active_nochange	correct	1.6218999999999824	left
276.4673	6	passive	miss	n/a	right
284.4839	6	passive	n/a	1.7894000000000005	left
300.5002	6	active_nochange	correct	1.834799999999973	left
306.5085	6	active_nochange	correct	1.7502999999999815	left
