onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0391	6	active_change	correct	1.5105000000000004	right
24.0555	6	active_change	correct	1.4479000000000006	right
30.0637	6	active_nochange	correct	1.3554999999999993	left
40.0802	6	passive	n/a	1.6407999999999987	left
46.0884	6	active_change	correct	1.636499999999998	right
56.1049	6	active_nochange	incorrect	1.6537000000000006	right
64.1215	6	active_change	correct	1.6659000000000077	right
70.1297	6	active_nochange	correct	1.4475999999999942	left
76.1379	6	active_change	correct	1.3492999999999995	right
82.1461	6	active_change	correct	1.528899999999993	right
90.1627	6	active_nochange	correct	1.937100000000001	left
96.1709	6	active_nochange	correct	1.602800000000002	left
104.1874	6	active_nochange	incorrect	1.5151000000000039	right
110.1956	6	passive	n/a	1.2728000000000037	left
116.2039	6	active_change	correct	1.3092999999999932	right
122.2121	6	active_nochange	correct	1.3019999999999925	left
130.2286	6	passive	n/a	1.304300000000012	right
138.2452	6	active_nochange	correct	1.3485000000000014	left
144.2534	6	active_nochange	incorrect	1.7461000000000126	right
154.2699	6	active_nochange	correct	1.6843999999999824	left
160.2781	6	passive	n/a	1.3991000000000042	right
166.2863	6	passive	n/a	1.5807999999999822	right
176.3028	6	active_change	correct	1.4350000000000023	right
184.3193	6	active_change	incorrect	1.3782999999999959	left
192.3359	6	active_nochange	correct	1.4925999999999817	left
198.3441	6	active_change	correct	1.3201999999999998	right
208.3606	6	passive	n/a	0.28950000000000387	left
214.3688	6	active_nochange	incorrect	1.3891000000000133	right
220.377	6	active_change	incorrect	1.4287999999999954	left
226.3853	6	active_change	correct	1.34729999999999	right
232.3935	6	active_nochange	correct	1.4320000000000164	left
242.41	6	active_change	correct	1.5133000000000152	right
248.4182	6	active_change	correct	1.4428999999999803	right
256.4347	6	active_change	incorrect	1.640199999999993	left
262.443	6	active_change	correct	1.807800000000043	right
268.4512	6	active_nochange	correct	1.7814000000000192	left
276.4677	6	passive	n/a	1.515800000000013	right
284.4842	6	passive	n/a	1.3941000000000372	right
300.5006	6	active_nochange	correct	1.349299999999971	left
306.5088	6	active_nochange	incorrect	1.4209999999999923	right
