onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0359	6	active_change	miss	n/a	right
24.0523	6	active_change	miss	n/a	left
30.0605	6	active_nochange	miss	n/a	right
40.0769	6	passive	miss	n/a	right
46.0852	6	active_change	correct	1.7224999999999966	right
56.1016	6	active_nochange	correct	1.6259000000000015	left
64.1181	6	active_change	correct	2.0271000000000043	right
70.1263	6	active_nochange	correct	0.9047999999999945	left
76.1345	6	active_change	correct	2.1803999999999917	right
82.1428	6	active_change	correct	1.6020000000000039	right
90.1593	6	active_nochange	miss	n/a	left
96.1675	6	active_nochange	correct	0.9628999999999905	left
104.184	6	active_nochange	correct	2.012200000000007	left
110.1922	6	passive	miss	n/a	right
116.2004	6	active_change	miss	n/a	left
122.2086	6	active_nochange	incorrect	1.4521000000000015	right
130.2251	6	passive	miss	n/a	left
138.2416	6	active_nochange	miss	n/a	left
144.2498	6	active_nochange	incorrect	1.068399999999997	right
154.2663	6	active_nochange	correct	2.0516000000000076	left
160.2745	6	passive	miss	n/a	right
166.2827	6	passive	miss	n/a	right
176.2991	6	active_change	correct	1.1461999999999932	right
184.3157	6	active_change	correct	1.1254000000000133	right
192.3322	6	active_nochange	correct	0.959699999999998	left
198.3404	6	active_change	correct	1.0963000000000136	right
208.3568	6	passive	miss	n/a	left
214.365	6	active_nochange	miss	n/a	right
220.3732	6	active_change	correct	0.8719000000000108	right
226.3815	6	active_change	correct	0.9675000000000011	right
232.3897	6	active_nochange	miss	n/a	right
242.4061	6	active_change	correct	0.7864999999999895	right
248.4143	6	active_change	miss	n/a	right
256.4308	6	active_change	correct	0.8794000000000324	right
262.439	6	active_change	miss	n/a	left
268.4473	6	active_nochange	miss	n/a	right
276.4638	6	passive	miss	n/a	right
284.4803	6	passive	miss	n/a	left
300.4966	6	active_nochange	miss	n/a	left
306.5048	6	active_nochange	incorrect	1.4440999999999917	right
