onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0393	6	active_change	correct	1.641399999999999	right
24.0558	6	active_change	correct	1.5325999999999986	right
30.064	6	active_nochange	correct	1.5253000000000014	left
40.0805	6	passive	n/a	1.6045000000000016	left
46.0887	6	active_change	correct	1.8571999999999989	right
56.1052	6	active_nochange	correct	1.767399999999995	left
64.1217	6	active_change	correct	1.5767999999999915	right
70.1299	6	active_nochange	correct	1.6474999999999937	left
76.1382	6	active_change	correct	1.4890000000000043	right
82.1464	6	active_change	incorrect	2.466700000000003	left
90.1629	6	active_nochange	incorrect	1.6460000000000008	right
96.1711	6	active_nochange	incorrect	1.9176000000000073	right
104.1876	6	active_nochange	correct	1.6598999999999933	left
110.1959	6	passive	n/a	2.045500000000004	left
116.2041	6	active_change	correct	2.0692000000000093	right
122.2123	6	active_nochange	correct	1.4568000000000012	left
130.2288	6	passive	n/a	1.419099999999986	left
138.2454	6	active_nochange	incorrect	2.106400000000008	right
144.2536	6	active_nochange	correct	1.431999999999988	left
154.2701	6	active_nochange	correct	1.4983000000000004	left
160.2783	6	passive	n/a	1.7109999999999843	left
166.2865	6	passive	n/a	1.519599999999997	left
176.303	6	active_change	correct	1.3798999999999921	right
184.3195	6	active_change	incorrect	1.8281999999999812	left
192.3361	6	active_nochange	correct	1.93040000000002	left
198.3443	6	active_change	correct	1.5520999999999958	right
208.3608	6	passive	n/a	1.8172999999999888	left
214.369	6	active_nochange	correct	1.318000000000012	left
220.3772	6	active_change	correct	1.6577000000000055	right
226.3854	6	active_change	correct	1.637299999999982	right
232.3937	6	active_nochange	correct	1.6617999999999995	left
242.4102	6	active_change	incorrect	1.4011999999999887	left
248.4184	6	active_change	correct	1.866800000000012	right
256.4349	6	active_change	correct	1.8350999999999544	right
262.4431	6	active_change	correct	1.699700000000007	right
268.4514	6	active_nochange	correct	1.7753000000000156	left
276.4679	6	passive	n/a	1.789700000000039	left
284.4844	6	passive	n/a	1.6929999999999836	left
300.5008	6	active_nochange	correct	1.386199999999974	left
306.509	6	active_nochange	correct	1.5908000000000015	left
