onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0402	6	active_change	correct	1.5442999999999998	right
24.0565	6	active_change	miss	n/a	left
30.0647	6	active_nochange	incorrect	1.4603000000000002	right
40.0811	6	passive	n/a	1.5105000000000004	right
46.0893	6	active_change	miss	n/a	left
56.1057	6	active_nochange	miss	n/a	right
64.1221	6	active_change	miss	n/a	left
70.1303	6	active_nochange	incorrect	1.2713999999999999	right
76.1385	6	active_change	miss	n/a	right
82.1466	6	active_change	miss	n/a	left
90.1631	6	active_nochange	miss	n/a	left
96.1713	6	active_nochange	miss	n/a	left
104.1877	6	active_nochange	incorrect	1.8747999999999934	right
110.1959	6	passive	miss	n/a	right
116.204	6	active_change	miss	n/a	left
122.2122	6	active_nochange	incorrect	1.4428000000000054	right
130.2287	6	passive	miss	n/a	left
138.2451	6	active_nochange	miss	n/a	left
144.2533	6	active_nochange	miss	n/a	left
154.2697	6	active_nochange	incorrect	1.2262000000000057	right
160.2779	6	passive	n/a	2.06880000000001	right
166.286	6	passive	miss	n/a	right
176.3024	6	active_change	correct	1.2797999999999945	right
184.3189	6	active_change	miss	n/a	left
192.3353	6	active_nochange	incorrect	1.4493999999999971	right
198.3435	6	active_change	miss	n/a	right
208.3599	6	passive	miss	n/a	left
214.3681	6	active_nochange	incorrect	1.2128999999999905	right
220.3763	6	active_change	miss	n/a	right
226.3844	6	active_change	miss	n/a	left
232.3926	6	active_nochange	incorrect	1.3678000000000168	right
242.409	6	active_change	miss	n/a	right
248.4172	6	active_change	miss	n/a	right
256.4336	6	active_change	miss	n/a	right
262.4418	6	active_change	miss	n/a	left
268.45	6	active_nochange	miss	n/a	right
276.4664	6	passive	n/a	1.3435999999999808	right
284.4829	6	passive	n/a	1.3168000000000006	right
300.4991	6	active_nochange	incorrect	1.8120999999999867	right
306.5073	6	active_nochange	incorrect	1.3187000000000353	right
