onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0368	6	active_change	miss	n/a	right
24.0531	6	active_change	miss	n/a	left
30.0613	6	active_nochange	correct	9.3734	left
40.0777	6	passive	n/a	1.485999999999997	right
46.0859	6	active_change	miss	n/a	left
56.1023	6	active_nochange	incorrect	1.2439000000000036	right
64.1187	6	active_change	correct	1.8742000000000019	right
70.1269	6	active_nochange	incorrect	1.4497999999999962	right
76.1351	6	active_change	miss	n/a	right
82.1432	6	active_change	correct	1.4751000000000118	right
90.1597	6	active_nochange	incorrect	1.6333999999999946	right
96.1679	6	active_nochange	incorrect	1.171999999999997	right
104.1843	6	active_nochange	incorrect	1.2363	right
110.1925	6	passive	n/a	1.3109000000000037	right
116.2007	6	active_change	miss	n/a	left
122.2088	6	active_nochange	incorrect	1.4121999999999986	right
130.2253	6	passive	miss	n/a	left
138.2417	6	active_nochange	incorrect	1.3937999999999988	right
144.2499	6	active_nochange	incorrect	1.7024000000000115	right
154.2663	6	active_nochange	incorrect	1.2587000000000046	right
160.2745	6	passive	n/a	1.7853000000000065	right
166.2826	6	passive	miss	n/a	right
176.299	6	active_change	correct	1.977199999999982	right
184.3155	6	active_change	miss	n/a	left
192.3319	6	active_nochange	incorrect	1.2858000000000231	right
198.3401	6	active_change	miss	n/a	right
208.3565	6	passive	n/a	1.3566999999999894	right
214.3647	6	active_nochange	incorrect	1.4773000000000138	right
220.3729	6	active_change	miss	n/a	right
226.381	6	active_change	miss	n/a	left
232.3892	6	active_nochange	incorrect	1.2563000000000102	right
242.4056	6	active_change	miss	n/a	right
248.4138	6	active_change	correct	1.2381000000000029	right
256.4302	6	active_change	miss	n/a	right
262.4384	6	active_change	miss	n/a	left
268.4466	6	active_nochange	incorrect	1.2497000000000185	right
276.463	6	passive	miss	n/a	right
284.4795	6	passive	miss	n/a	left
300.4957	6	active_nochange	incorrect	1.3716000000000008	right
306.5039	6	active_nochange	miss	n/a	n/a
