onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0354	6	active_change	correct	1.446200000000001	right
24.0518	6	active_change	correct	1.4434000000000005	right
30.06	6	active_nochange	correct	1.4611000000000018	left
40.0764	6	passive	n/a	1.5283999999999978	left
46.0846	6	active_change	correct	1.293999999999997	right
56.1011	6	active_nochange	correct	1.6191999999999993	left
64.1175	6	active_change	correct	1.4285999999999888	right
70.1257	6	active_nochange	correct	1.4031999999999982	left
76.1339	6	active_change	incorrect	1.6557999999999993	left
82.1421	6	active_change	incorrect	1.450400000000002	left
90.1586	6	active_nochange	incorrect	1.8506999999999891	right
96.1668	6	active_nochange	correct	1.3083000000000027	left
104.1833	6	active_nochange	incorrect	1.499600000000001	right
110.1914	6	passive	n/a	1.6233000000000004	left
116.1996	6	active_change	incorrect	1.4328999999999894	left
122.2078	6	active_nochange	incorrect	2.0205999999999875	right
130.2243	6	passive	n/a	1.3129000000000133	right
138.2408	6	active_nochange	correct	1.5790999999999826	left
144.249	6	active_nochange	correct	1.234800000000007	left
154.2654	6	active_nochange	correct	1.1899999999999977	left
160.2736	6	passive	n/a	1.7045999999999992	left
166.2818	6	passive	n/a	1.4883000000000095	left
176.2982	6	active_change	correct	1.3555999999999813	right
184.3147	6	active_change	correct	1.7479000000000156	right
192.3312	6	active_nochange	incorrect	1.390100000000018	right
198.3394	6	active_change	correct	1.226699999999994	right
208.3558	6	passive	n/a	1.2641000000000133	right
214.364	6	active_nochange	correct	1.5366999999999962	left
220.3722	6	active_change	correct	1.2412999999999954	right
226.3804	6	active_change	incorrect	1.3478999999999814	left
232.3886	6	active_nochange	correct	1.2896000000000072	left
242.405	6	active_change	correct	1.5468999999999937	right
248.4132	6	active_change	correct	1.3275000000000148	right
256.4296	6	active_change	correct	1.3727999999999838	right
262.4378	6	active_change	correct	1.5604000000000156	right
268.446	6	active_nochange	correct	1.223099999999988	left
276.4625	6	passive	n/a	1.3874000000000137	left
284.479	6	passive	n/a	1.3115999999999985	right
300.4953	6	active_nochange	incorrect	1.4788000000000352	right
306.5035	6	active_nochange	correct	1.24350000000004	left
