onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0394	6	active_change	correct	1.1822999999999997	right
24.0559	6	active_change	correct	1.1733999999999973	right
30.0641	6	active_nochange	correct	1.3381000000000007	left
40.0805	6	passive	n/a	0.5703999999999994	left
46.0887	6	active_change	correct	1.1680999999999955	right
56.1052	6	active_nochange	correct	1.3402999999999992	left
64.1217	6	active_change	incorrect	1.448599999999999	left
70.1299	6	active_nochange	incorrect	1.9491999999999905	right
76.1381	6	active_change	correct	1.2139000000000095	right
82.1463	6	active_change	incorrect	1.819500000000005	left
90.1628	6	active_nochange	incorrect	2.1007999999999925	right
96.171	6	active_nochange	correct	1.2033999999999878	left
104.1875	6	active_nochange	correct	1.5087999999999937	left
110.1957	6	passive	n/a	1.2653999999999996	right
116.204	6	active_change	correct	1.201900000000009	right
122.2122	6	active_nochange	incorrect	1.526600000000002	right
130.2287	6	passive	n/a	1.3888000000000034	left
138.2452	6	active_nochange	correct	1.6700999999999908	left
144.2534	6	active_nochange	correct	1.2197999999999922	left
154.2698	6	active_nochange	correct	1.3660999999999888	left
160.278	6	passive	n/a	2.3747000000000185	right
166.2863	6	passive	n/a	1.8112999999999886	right
176.3027	6	active_change	correct	1.766600000000011	right
184.3192	6	active_change	correct	1.3218999999999994	right
192.3357	6	active_nochange	incorrect	1.4321999999999946	right
198.3439	6	active_change	incorrect	1.4578000000000202	left
208.3604	6	passive	n/a	1.2840999999999951	left
214.3686	6	active_nochange	incorrect	1.244700000000023	right
220.3768	6	active_change	correct	1.2134000000000071	right
226.385	6	active_change	incorrect	1.1800000000000068	left
232.3932	6	active_nochange	correct	1.1826999999999828	left
242.4097	6	active_change	correct	1.2649000000000115	right
248.4179	6	active_change	incorrect	1.569500000000005	left
256.4344	6	active_change	correct	1.1437999999999988	right
262.4426	6	active_change	correct	1.2374999999999545	right
268.4508	6	active_nochange	incorrect	1.2450999999999794	right
276.4673	6	passive	n/a	1.061399999999992	left
284.4838	6	passive	n/a	3.1865999999999985	left
300.5001	6	active_nochange	incorrect	1.122000000000014	right
306.5084	6	active_nochange	correct	1.7785000000000082	left
