onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0401	6	active_change	correct	1.7973999999999997	right
24.0565	6	active_change	incorrect	1.1827000000000005	left
30.0647	6	active_nochange	correct	1.1602000000000032	left
40.0811	6	passive	n/a	1.2905000000000015	left
46.0892	6	active_change	incorrect	1.6732000000000014	left
56.1056	6	active_nochange	incorrect	1.1774999999999949	right
64.1221	6	active_change	incorrect	1.8646999999999991	left
70.1302	6	active_nochange	incorrect	1.3944000000000045	right
76.1384	6	active_change	correct	1.1569999999999965	right
82.1466	6	active_change	correct	1.1966999999999928	right
90.163	6	active_nochange	correct	1.2379999999999995	left
96.1712	6	active_nochange	correct	1.1646000000000072	left
104.1877	6	active_nochange	incorrect	1.4827999999999975	right
110.1958	6	passive	n/a	1.4334999999999951	left
116.204	6	active_change	incorrect	1.7371000000000123	left
122.2122	6	active_nochange	correct	1.1948000000000008	left
130.2286	6	passive	n/a	1.237099999999998	left
138.2451	6	active_nochange	correct	1.127299999999991	left
144.2533	6	active_nochange	incorrect	1.3649000000000058	right
154.2697	6	active_nochange	correct	1.0681999999999903	left
160.2778	6	passive	n/a	1.2628999999999735	left
166.286	6	passive	n/a	1.1794999999999902	left
176.3024	6	active_change	miss	n/a	right
184.3188	6	active_change	correct	1.1410999999999945	right
192.3353	6	active_nochange	correct	1.1614000000000146	left
198.3435	6	active_change	correct	1.3700000000000045	right
208.3599	6	passive	n/a	1.2013000000000034	left
214.368	6	active_nochange	incorrect	1.552899999999994	right
220.3762	6	active_change	incorrect	1.549599999999998	left
226.3844	6	active_change	incorrect	1.282199999999989	left
232.3926	6	active_nochange	correct	1.1188000000000216	left
242.409	6	active_change	correct	1.525100000000009	right
248.4171	6	active_change	correct	1.1437999999999988	right
256.4336	6	active_change	correct	1.2690000000000055	right
262.4418	6	active_change	correct	1.580600000000004	right
268.4499	6	active_nochange	correct	1.703300000000013	left
276.4664	6	passive	n/a	1.3404999999999632	left
284.4828	6	passive	n/a	1.2789000000000215	left
300.4991	6	active_nochange	correct	1.154100000000028	left
306.5072	6	active_nochange	correct	1.057799999999986	left
