onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0369	6	active_change	correct	1.3107000000000006	right
24.0532	6	active_change	miss	n/a	left
30.0614	6	active_nochange	incorrect	1.4155000000000015	right
40.0777	6	passive	miss	n/a	right
46.0859	6	active_change	miss	n/a	left
56.1023	6	active_nochange	incorrect	0.6456999999999979	right
64.1187	6	active_change	miss	n/a	left
70.1269	6	active_nochange	incorrect	1.3325999999999993	right
76.135	6	active_change	miss	n/a	right
82.1432	6	active_change	miss	n/a	left
90.1596	6	active_nochange	incorrect	1.2541999999999973	right
96.1678	6	active_nochange	incorrect	1.2968000000000046	right
104.1842	6	active_nochange	incorrect	1.2390999999999934	right
110.1924	6	passive	miss	n/a	right
116.2005	6	active_change	miss	n/a	left
122.2087	6	active_nochange	incorrect	1.2460000000000093	right
130.2251	6	passive	miss	n/a	left
138.2415	6	active_nochange	incorrect	1.495599999999996	right
144.2497	6	active_nochange	incorrect	1.2122000000000241	right
154.2661	6	active_nochange	incorrect	1.2545000000000073	right
160.2742	6	passive	miss	n/a	right
166.2824	6	passive	miss	n/a	right
176.2987	6	active_change	correct	1.3140999999999963	right
184.3152	6	active_change	miss	n/a	left
192.3316	6	active_nochange	miss	n/a	right
198.3398	6	active_change	miss	n/a	right
208.3561	6	passive	miss	n/a	left
214.3643	6	active_nochange	incorrect	1.2852000000000032	right
220.3724	6	active_change	miss	n/a	right
226.3806	6	active_change	miss	n/a	left
232.3888	6	active_nochange	miss	n/a	right
242.4051	6	active_change	miss	n/a	right
248.4133	6	active_change	miss	n/a	right
256.4297	6	active_change	miss	n/a	right
262.4379	6	active_change	miss	n/a	left
268.446	6	active_nochange	miss	n/a	right
276.4625	6	passive	miss	n/a	right
284.4789	6	passive	n/a	2.455100000000016	right
300.4951	6	active_nochange	miss	n/a	left
306.5032	6	active_nochange	miss	n/a	n/a
