onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0417	6	active_change	correct	1.1847999999999992	right
24.058	6	active_change	miss	n/a	left
30.0662	6	active_nochange	miss	n/a	right
40.0826	6	passive	n/a	1.5739000000000019	right
46.0907	6	active_change	miss	n/a	left
56.1071	6	active_nochange	miss	n/a	right
64.1235	6	active_change	miss	n/a	left
70.1317	6	active_nochange	miss	n/a	right
76.1398	6	active_change	miss	n/a	right
82.148	6	active_change	miss	n/a	left
90.1644	6	active_nochange	miss	n/a	left
96.1726	6	active_nochange	miss	n/a	left
104.189	6	active_nochange	miss	n/a	right
110.1972	6	passive	n/a	1.2088999999999999	left
116.2053	6	active_change	miss	n/a	left
122.2135	6	active_nochange	miss	n/a	right
130.2299	6	passive	n/a	1.3963999999999999	left
138.2463	6	active_nochange	miss	n/a	left
144.2545	6	active_nochange	miss	n/a	left
154.2709	6	active_nochange	miss	n/a	right
160.279	6	passive	n/a	1.4163000000000068	left
166.2872	6	passive	n/a	1.4928999999999917	left
176.3035	6	active_change	miss	n/a	right
184.32	6	active_change	miss	n/a	left
192.3364	6	active_nochange	miss	n/a	right
198.3446	6	active_change	miss	n/a	right
208.3609	6	passive	n/a	1.5137	left
214.3691	6	active_nochange	miss	n/a	right
220.3772	6	active_change	miss	n/a	right
226.3854	6	active_change	miss	n/a	left
232.3935	6	active_nochange	miss	n/a	right
242.4099	6	active_change	miss	n/a	right
248.4181	6	active_change	miss	n/a	right
256.4345	6	active_change	miss	n/a	right
262.4427	6	active_change	miss	n/a	left
268.4508	6	active_nochange	miss	n/a	right
276.4672	6	passive	n/a	1.2309999999999945	left
284.4837	6	passive	n/a	1.380200000000002	left
300.4999	6	active_nochange	miss	n/a	left
306.508	6	active_nochange	miss	n/a	n/a
